time            X               S               e2              Y               L              
5.651302605e+01 7.311532223e+00 7.311532223e+00 2.087009450e-03 2.686380767e+00 2.686380767e+00
5.711422846e+01 7.290691741e+00 7.290691741e+00 2.075128990e-03 2.707233131e+00 2.707233131e+00
5.771543086e+01 7.269969709e+00 7.269969709e+00 2.063349137e-03 2.727966942e+00 2.727966942e+00
5.831663327e+01 7.249365120e+00 7.249365120e+00 2.051669046e-03 2.748583211e+00 2.748583211e+00
5.891783567e+01 7.228876978e+00 7.228876978e+00 2.040087640e-03 2.769082934e+00 2.769082934e+00
5.951903808e+01 7.208504298e+00 7.208504298e+00 2.028603600e-03 2.789467098e+00 2.789467098e+00
6.012024048e+01 7.188246107e+00 7.188246107e+00 2.017215576e-03 2.809736678e+00 2.809736678e+00
6.072144289e+01 7.168101442e+00 7.168101442e+00 2.005922697e-03 2.829892635e+00 2.829892635e+00
6.132264529e+01 7.148069354e+00 7.148069354e+00 1.994725105e-03 2.849935921e+00 2.849935921e+00
6.192384770e+01 7.128148900e+00 7.128148900e+00 1.983621017e-03 2.869867479e+00 2.869867479e+00
6.252505010e+01 7.108339150e+00 7.108339150e+00 1.972609505e-03 2.889688240e+00 2.889688240e+00
6.312625251e+01 7.088639183e+00 7.088639183e+00 1.961689688e-03 2.909399127e+00 2.909399127e+00
6.372745491e+01 7.069048088e+00 7.069048088e+00 1.950860741e-03 2.929001051e+00 2.929001051e+00
6.432865731e+01 7.049564968e+00 7.049564968e+00 1.940120945e-03 2.948494911e+00 2.948494911e+00
6.492985972e+01 7.030188933e+00 7.030188933e+00 1.929469403e-03 2.967881598e+00 2.967881598e+00
6.553106212e+01 7.010919100e+00 7.010919100e+00 1.918905325e-03 2.987161994e+00 2.987161994e+00
6.613226453e+01 6.991754601e+00 6.991754601e+00 1.908427723e-03 3.006336972e+00 3.006336972e+00
6.673346693e+01 6.972694571e+00 6.972694571e+00 1.898035608e-03 3.025407393e+00 3.025407393e+00
